  Seq   Jmag    Hmag    Kmag    [3.6]   [4.5]   [5.8]   [8.0]   [24]   AKs    alpha   Cl   2M   Simbad   GLON                 GLAT                  RA2000              DEC2000              
  123   13.69   12.69   12.14   11.65   11.33   10.96   10.16   6.64   0.22   -1.12   D    2M   Simbad   213.53706353711996   -19.93611099096438    85.21841666666667   -9.45738888888889    
  124   13.55   12.56   12.2    11.65   11.37   10.9    10.27   7.36   0.35   -1.22   D    2M   Simbad   213.60451014038318   -19.759518979055105   85.40766666666667   -9.438444444444446   
  125   17.0    15.55   14.17   12.37   11.55   10.73   9.92    6.11   0.16   -0.01   P    2M   Simbad   213.63107624572547   -19.666548149311247   85.503625           -9.420888888888886   
  126   14.25   13.18   12.79   12.28   12.06   11.74   11.42   8.92   0.41   -1.82   D    2M   Simbad   213.49837042459228   -19.875243083201145   85.25816666666667   -9.398305555555558   
  127   11.62   10.5    10.07   9.41    9.1     8.72    8.05    5.36   0.45   -1.26   D    2M   Simbad   213.4710907253556    -19.92421684136949    85.20216666666667   -9.396305555555557   
  128   13.45   12.55   12.23   11.95   11.85   11.69   11.38   7.33   0.25   -2.18   D    2M   Simbad   213.54431348130228   -19.776299118899693   85.36754166666667   -9.394583333333333   
  129   13.2    12.78   12.37   10.17   9.68    6.51    4.67    1.0    0.0    4.03    D    2M   Simbad   213.4932729286032    -19.863059843198812   85.26720833333333   -9.388722222222222   
  130   14.7    12.4    10.67   8.87    8.09    7.43    6.7     3.58   1.0    -0.36   D    2M   Simbad   213.43021478860854   -19.964162689085626   85.14883333333333   -9.378888888888891   
  131   13.01   11.77   11.3    10.51   10.2    9.88    9.46    6.65   0.58   -1.63   D    2M   Simbad   213.4719120075746    -19.87801001674306    85.24475000000001   -9.377055555555552   
  132   16.42   14.99   13.85   12.73   12.38   12.01   11.37   6.76   0.33   -1.28   D    2M   Simbad   213.7104934238143    -19.400449190149555   85.77966666666666   -9.373527777777777   
  133   12.74   11.75   11.3    10.29   9.86    9.41    8.76    5.99   0.27   -1.07   D    2M   Simbad   213.64879366752135   -19.49693608113105    85.66599999999998   -9.362722222222223   
  134   14.43   13.56   13.09   12.45   12.15   11.74   11.17   8.64   0.1    -1.34   D    2M   Simbad   213.4720479150415    -19.82241871966003    85.295625           -9.353166666666667   
  135   13.79   12.64   12.16   11.52   11.17   10.66   10.05   6.66   0.46   -1.11   D    2M   Simbad   213.64172782948359   -19.4698145026266     85.68787500000002   -9.345               
  136   14.89   13.77   12.97   12.05   11.58   11.15   10.53   8.0    0.18   -1.1    D    2M   Simbad   213.4359204477303    -19.86759356491074    85.23945833333333   -9.34202777777778    
  137   12.47   10.98   10.04   8.62    7.98    7.54    6.84    4.31   0.53   -0.84   D    2M   Simbad   213.39780035153365   -19.942055410017595   85.15570833333334   -9.341861111111111   
  138   ""      ""      ""      13.63   12.81   12.13   11.67   7.59   ""     -0.59   FP   2M   Simbad   213.41948951950957   -19.896707922739004   85.20608333333335   -9.340666666666667   
  139   14.4    13.44   12.99   12.12   11.82   11.42   10.95   8.23   0.23   -1.47   D    2M   Simbad   213.38163945604288   -19.964001123166206   85.129              -9.33763888888889    
  140   15.05   13.84   13.21   12.52   12.16   11.75   11.3    8.45   0.42   -1.42   D    2M   Simbad   213.40834636971832   -19.907782047901655   85.19137500000002   -9.336               
  141   12.41   11.28   10.83   10.46   10.32   10.02   9.71    7.05   0.46   -1.94   D    2M   Simbad   213.42737228289252   -19.856084574154824   85.24645833333332   -9.329805555555556   
  142   15.77   14.97   14.43   13.96   13.79   13.84   ""      ""     0.0    ""      D    2M   Simbad   213.43199907680997   -19.82365789318593    85.27799999999999   -9.319722222222222   
  143   11.45   10.5    10.0    9.57    9.26    8.77    7.96    5.31   0.17   -0.96   D    2M   Simbad   213.42355497515814   -19.825323361848298   85.273              -9.313277777777776   
  144   14.16   13.19   12.62   11.45   11.02   10.53   ""      ""     0.15   ""      D    2M   Simbad   213.4221934794772    -19.82484651511107    85.27287500000001   -9.311916666666669   
  145   12.04   11.01   10.62   10.25   10.08   9.73    9.2     6.67   0.36   -1.6    D    2M   Simbad   213.39980503874662   -19.84585119246172    85.24445833333334   -9.301999999999998   
  146   14.69   13.99   13.52   12.94   12.56   12.12   11.48   8.62   0.0    -1.16   D    2M   Simbad   213.46612802027622   -19.688676299500255   85.41541666666667   -9.29036111111111    
  147   16.63   15.87   ""      15.76   15.19   ""      11.81   6.44   ""     ""      D    2M   Simbad   213.35450734981944   -19.900809050085194   85.17558333333334   -9.287333333333333   
  148   13.96   12.44   11.24   9.39    8.64    7.95    7.31    3.75   0.39   -0.44   D    2M   Simbad   213.32762594378084   -19.946471224651056   85.12279166666666   -9.284277777777776   
  149   12.65   11.57   11.01   10.45   10.04   9.72    8.98    6.54   0.3    -1.17   D    2M   Simbad   213.38620231927288   -19.78745974345769    85.29220833333333   -9.265222222222222   
  150   ""      ""      ""      14.33   13.29   12.32   11.32   8.09   ""     0.61    FP   2M   Simbad   213.55562312753992   -19.439203256242056   85.68029166666668   -9.258555555555557   
  151   13.28   12.15   11.62   10.96   10.73   10.43   10.16   6.22   0.38   -1.89   D    2M   Simbad   213.35498329756902   -19.777796727125647   85.28816666666668   -9.234555555555556   
  152   14.71   13.5    12.7    11.7    11.26   10.82   10.25   7.13   0.29   -1.17   D    2M   Simbad   213.33065790329763   -19.81594394542284    85.24329166666668   -9.23041666666667    
  153   ""      ""      ""      13.98   13.05   12.05   11.14   7.0    ""     0.45    P    2M   Simbad   213.54753411642298   -19.37816357203773    85.73270833333336   -9.225277777777778   
  154   12.7    11.6    10.86   9.84    9.36    8.8     7.99    5.08   0.21   -0.69   D    2M   Simbad   213.31725354853813   -19.790278513590184   85.26120833333334   -9.207944444444445   
  155   13.85   12.92   12.44   12.06   11.89   11.58   11.18   8.7    0.16   -1.8    D    2M   Simbad   213.49293885547456   -19.430641521795433   85.66220833333333   -9.201555555555556   
  156   13.6    11.74   10.77   10.05   9.71    9.33    8.86    5.87   1.0    -1.46   D    2M   Simbad   213.33394271533402   -19.737322359150667   85.31645833333334   -9.199194444444444   
  157   13.8    13.14   12.76   11.69   11.06   10.56   9.89    7.32   0.0    -0.78   D    2M   Simbad   213.45914908829792   -19.48989803093234    85.594125           -9.198472222222222   
